,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,dayfri,daymon,daysat,daysun,daythu,daytue,daywed,monthapr,monthaug,monthdec,monthfeb,monthjan,monthjul,monthjun,monthmar,monthmay,monthnov,monthoct,monthsep,size_category
19,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,small
20,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,small
21,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
22,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,small
23,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
24,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
25,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
26,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
27,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
28,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
29,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
30,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
31,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
32,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
33,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
34,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
35,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,small
36,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,small
37,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,small
38,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,small
39,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,small
40,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,small
41,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
42,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,small
43,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
44,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,small
45,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,small
46,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
47,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,small
48,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
49,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
50,92.9,137.0,706.4,9.2,20.8,17,1.3,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
51,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
52,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,small
53,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,small
54,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
55,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
56,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,small
57,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,small
58,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,small
59,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,small
60,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
61,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
62,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
63,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
64,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
65,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
66,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
67,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
68,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
69,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
70,91.2,48.3,97.8,12.5,15.8,27,7.6,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
71,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
72,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
73,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,small
74,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
75,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,small
76,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,small
77,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
78,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
79,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,small
80,91.4,142.4,601.4,10.6,19.5,39,6.3,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
81,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
82,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,small
83,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,small
84,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
85,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
86,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
87,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
88,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
89,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
90,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
91,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
92,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
93,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
94,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
95,89.7,90.0,704.4,4.8,17.8,64,1.3,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
96,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,small
97,69.0,2.4,15.5,0.7,17.4,24,5.4,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
98,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
99,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
100,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
101,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,small
102,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,small
103,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
104,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,small
105,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
106,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
107,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
108,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
109,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
110,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
111,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
112,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
113,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
114,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,small
115,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,small
116,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
117,91.7,35.8,80.8,7.8,15.2,27,4.9,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
118,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
119,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
120,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
121,91.5,145.4,608.2,10.7,17.1,43,5.4,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
122,92.4,124.1,680.7,8.5,22.5,42,5.4,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
123,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,small
124,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
125,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,small
126,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
127,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
128,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,small
129,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,small
130,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,small
131,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
132,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
133,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
134,88.1,25.7,67.6,3.8,14.9,38,2.7,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,small
135,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
136,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
137,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
138,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.36,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,small
139,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,small
140,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
141,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,small
142,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
143,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,small
144,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,small
145,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
146,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0,0.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
147,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,small
148,94.8,108.3,647.1,17.0,17.4,43,6.7,0.0,1.07,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,small
149,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
150,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,small
151,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,1.36,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,small
152,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,small
153,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
154,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
155,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
156,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
157,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,1.63,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,small
158,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,small
159,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
160,90.1,39.7,86.6,6.2,16.1,29,3.1,0.0,1.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
161,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
162,90.6,50.1,100.4,7.8,15.2,31,8.5,0.0,1.94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
163,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
164,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
165,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
166,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,2.29,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,small
167,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,small
168,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,2.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,small
169,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,2.55,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
170,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,small
171,85.6,90.4,609.6,6.6,17.4,50,4.0,0.0,2.69,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,small
172,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
173,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,small
174,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0,3.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
175,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,4.53,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
176,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,4.61,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,small
177,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,small
178,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,small
179,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,5.23,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,small
